n,k,opCount
10,1,615
10,2,943
10,3,1269
10,4,1592
10,5,1918
30,1,1616
30,2,2423
30,3,3228
30,4,4035
30,5,4843
50,1,2615
50,2,3903
50,3,5190
50,4,6476
50,5,7759
70,1,3614
70,2,5383
70,3,7150
70,4,8918
70,5,10682
90,1,4615
90,2,6863
90,3,9110
90,4,11356
90,5,13601
