n,k,opCount
100,1,2516
100,2,4502
100,3,6488
100,4,8474
100,5,10460
300,1,7316
300,2,13102
300,3,18888
300,4,24674
300,5,30460
500,1,12116
500,2,21702
500,3,31288
500,4,40874
500,5,50460
700,1,16916
700,2,30302
700,3,43688
700,4,57074
700,5,70460
900,1,21716
900,2,38902
900,3,56088
900,4,73274
900,5,90460
