n,k,opCount
10,1,615
10,2,944
10,3,1269
10,4,1593
10,5,1918
30,1,1615
30,2,2423
30,3,3228
30,4,4035
30,5,4839
50,1,2617
50,2,3903
50,3,5189
50,4,6474
50,5,7761
70,1,3617
70,2,5385
70,3,7151
70,4,8913
70,5,10681
90,1,4616
90,2,6862
90,3,9110
90,4,11355
90,5,13602
