n,maxLength,opCount
10,1,1124
10,2,1589
10,3,2049
10,4,2509
10,5,2962
30,1,2824
30,2,3764
30,3,4732
30,4,5686
30,5,6649
50,1,4524
50,2,5955
50,3,7404
50,4,8874
50,5,10284
70,1,6224
70,2,8159
70,3,10097
70,4,12007
70,5,13932
90,1,7924
90,2,10362
90,3,12760
90,4,15220
90,5,17582
