n,k,opCount
10,1,615
10,2,942
10,3,1268
10,4,1593
10,5,1919
30,1,1615
30,2,2422
30,3,3226
30,4,4035
30,5,4843
50,1,2615
50,2,3902
50,3,5188
50,4,6474
50,5,7761
70,1,3615
70,2,5383
70,3,7149
70,4,8916
70,5,10679
90,1,4617
90,2,6862
90,3,9108
90,4,11354
90,5,13601
